Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Alleghanyite,4.0,5.5,0.41,,,,,,,32.46,,,,,,11.4,,,,,,,,,,,55.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allendeite,,,,,,,,,,29.61,,,,,0.37,,,,,,,1.92,20.87,3.25,0.24,,,0.6,,,,,,,,,,,,,0.55,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allochalcoselite,,3.5,,,,,,,,12.05,,,,,,,,,16.75,,,,,,,,,,,,35.47,,,,,14.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloclasite,6.17,5.0,,,,,,,,,,,,,,,,19.42,,,,,,,,,,8.45,26.76,,,,,,45.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allophane,1.9,3.0,2.24,,,,,,,57.57,,,,,23.97,16.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloriite,2.35,5.0,0.24,,,,,0.19,,45.15,,,10.1,,14.06,16.26,,3.59,0.37,,5.57,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alluaivite,2.76,5.5,0.19,,,,,,,35.4,,,20.14,,,20.72,,,3.27,,,8.31,,4.97,,,3.8,,,,,,,,,,,,,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alluaudite,3.51,5.25,,,,,,,,39.77,,,2.86,0.5,,,19.25,,,,,0.83,,,,,13.66,23.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almandine,4.19,7.5,,,,,,,,42.11,,,,6.12,12.02,18.3,,,,,,2.86,,0.04,,,0.43,18.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almarudite,,,,,,1.86,,,,47.98,,,0.48,0.92,2.16,33.83,,,,,3.36,0.08,,,,,5.66,3.46,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almbosite,,,,,,,,,,35.33,,,,,,6.89,,,,,,,,,16.67,,,41.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpersite,,2.5,5.37,,,,,,,66.98,,,,5.37,,,,12.2,,,,,,,,,0.42,0.21,,,8.95,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsakharovite-Zn,2.9,5.0,1.23,,,,,,,45.13,,,1.5,,,18.11,,,,,1.99,1.03,,11.19,,,,0.18,,,,4.01,,,,,,,,3.74,,,8.69,,,,,,,,,,,,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstonite,3.7,4.25,,,,,,8.08,,32.28,,,,,,,,,,,,13.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altaite,8.14,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althausite,2.97,3.5,0.38,,,,,,,46.68,3.54,,,30.18,,,19.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althupite,3.9,3.75,1.22,,,,,,,27.73,,,,,0.94,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,,57.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Altisite,2.65,6.0,,,,,,,,34.66,,,5.75,,4.5,18.72,,,8.86,,19.54,,,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alum-K,1.76,2.0,5.1,,,,,,,67.45,,,,,5.69,,,13.52,,,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alum-Na,1.67,3.0,5.28,,,,,,,69.82,,,5.02,,5.89,,,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminite,1.68,1.0,5.27,,,,,,,69.73,,,,,15.68,,,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumino-magnesiotaramite,,,0.23,,,,,,,44.11,,,4.75,6.7,9.64,19.65,,,,,,5.57,,0.17,,,,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminobarroisite,2.94,5.5,0.25,,,,,,,48.03,,,2.88,9.12,10.12,24.59,,,,,,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminoceladonite,,,0.5,,,,,,,47.45,,,,4.51,6.67,27.76,,,,,9.66,,,,,,,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminocerite-Ce,,5.0,0.41,,,,,,,28.8,,,,,1.33,11.4,,,,,,6.04,,,,,,0.32,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,6.44,20.22,3.1,13.54,,3.83,,2.73,,0.38,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminocopiapite,,2.75,3.49,,,,,,,60.72,,,,,1.48,,,15.87,,,,,,,,,,18.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminoferrobarroisite,2.94,,0.23,,,,,,,42.94,,,2.57,,9.05,21.99,,,,,,4.48,,,,,,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminoferrotschermakite,,,0.22,,,,,,,42.19,,,,,11.86,18.52,,,,,,8.81,,,,,,18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminomagnesiohulsite,,,,,,,5.54,,,40.97,,,,21.41,8.71,,,,,,,,,0.49,,,0.28,12.87,,,,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminotaramite,,,0.21,,,,,,,42.75,0.3,,4.4,4.41,8.73,19.59,,,,,0.04,4.8,,0.38,,,0.06,14.26,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum,2.7,1.5,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumoakermanite,,4.5,,,,,,,,41.66,,,4.28,2.71,6.02,20.89,,,,,,22.36,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumohydrocalcite,2.23,2.5,3.0,,,,,7.15,,61.88,,,,,16.05,,,,,,,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumoklyuchevskite,3.1,2.0,,,,,,,,38.34,,,,,3.59,,,17.08,,,15.62,,,,,,,,,,25.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumopharmacosiderite,,,2.29,,,,,,,48.07,,,,,14.41,,,,,,5.22,,,,,,,,,,,,,,30.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumotantite,,7.5,,,,,,,,23.53,,,,,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumotungstite,,,0.09,,,,,,,22.18,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alunite,2.74,3.75,1.46,,,,,,,54.08,,,,,19.54,,,15.48,,,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alunogen,1.71,1.75,5.29,,,,,,,71.56,,,,,8.32,,,14.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvanite,2.45,3.25,2.65,,,,,,,52.49,,,,,17.7,,,,,,,,,,16.71,,,,,2.41,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amakinite,2.95,3.75,2.42,,,,,,,38.34,,,,5.82,,,,,,,,,,,,,6.58,46.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amalgam,13.92,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarantite,2.23,2.5,3.16,,,,,,,57.41,,,,,,,,14.38,,,,,,,,,,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarillite,2.19,2.75,3.19,,,,,,,59.09,,,6.07,,,,,16.92,,,,,,,,,,14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,1.1,2.25,11.18,,,,,79.94,,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblygonite,3.04,5.75,0.17,,3.44,,,,,44.91,9.41,,3.8,,17.82,,20.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameghinite,2.02,2.5,2.35,,,,18.92,,,65.32,,,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesite,2.77,2.75,1.45,,,,,,,51.67,,,,17.44,19.36,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amicite,2.06,5.25,1.46,,,,,,,48.66,,,6.66,,15.63,16.27,,,,,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminoffite,2.94,5.5,0.48,,,4.33,,,,46.09,,,,,,20.23,,,,,,28.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonioalunite,2.4,2.5,2.5700000000000003,,,,,,3.56,56.97,,,,,20.59,,,16.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonioborite,1.765,,3.7,,,,22.05,,5.71,68.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammoniojarosite,3.02,4.0,2.1,,,,,,2.92,46.69,,,,,,,,13.37,,,,,,,,,,34.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonioleucite,2.29,5.75,1.49,,,,,,5.19,47.42,,,,,13.33,27.75,,,,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amstallite,2.4,4.0,1.42,,,,,,,51.35,,,,,12.18,23.24,,,1.78,,,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analcime,2.3,5.0,0.92,,,,,,,50.87,,,10.44,,12.26,25.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anandite,3.94,3.5,0.08,,,,,,,28.32,,,,3.07,3.18,14.2,,8.11,,,1.65,,,,,,,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anapaite,2.8,3.5,2.03,,,,,,,48.24,,,,,,,15.56,,,,,20.14,,,,,,14.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatase,3.9,5.75,,,,,,,,40.06,,,,,,,,,,,,,,59.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancylite-Ce,3.9,4.5,0.79,,,,,6.28,,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89,,,,,,,,,,,,,,,,,,,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancylite-La,3.88,4.25,0.79,,,,,6.29,,33.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.95,,,,,,,,,,,,,,,,,,,27.28,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andalusite,3.15,6.75,,,,,,,,49.37,,,,,33.3,17.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersonite,2.83,2.5,1.88,,,,,5.59,,42.22,,,7.14,,,,,,,,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.95,,,,,,,,,,,,,,,,,,,,,,,,,,
Andesine,2.67,7.0,,,,,,,,47.65,,,5.14,,14.06,27.18,,,,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorite,,,,,,,,,,,,,,,,,,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36,,,,41.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andradite,3.9,6.75,,,,,,,,44.74,,,,,,14.73,,,,,,21.01,,,,,,19.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andremeyerite,4.15,5.5,,,,,,,,27.07,,,,0.59,,13.58,,,,,,,,,,,3.98,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreyivanovite,,,,,,,,,,,,,,,,,22.32,,,,,,,2.79,4.0,21.99,,46.27,0.08,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anduoite,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.85,,,,,,,,,,,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andyrobertsite,4.011,3.0,0.5,,,,,,,29.29,,,,,,,,,,,3.25,,,,,,,,,,26.44,,,,31.17,,,,,,,,,,,,,,,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angastonite,2.47,2.0,3.61,,,,,,,60.5,,,,4.84,10.74,,12.33,,,,,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelaite,,,,,,,,,,,,,,,,,,16.46,,,,,,,,,,,,,16.31,,,,,,,,,,,,,,,,,,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.58,26.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelellite,4.867,5.5,,,,,,,,32.04,,,,,,,,,,,,,,,,,,40.67,,,,,,,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglesite,6.3,2.75,,,,,,,,21.1,,,,,,,,10.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhydride,2.97,3.5,,,,,,,,46.81,,,,,,,,23.36,,,,29.4,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhydrite,2.97,3.5,,,,,,,,47.01,,,,,,,,23.55,,,,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilite,5.68,3.5,,,,,,,,,,,,,,,,22.38,,,,,,,,,,,,,77.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankangite,4.44,6.5,,,,,,,,31.88,,,,,,,,,,,,,,32.79,15.22,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankerite,3.05,3.75,,,,,,11.64,,46.51,,,,3.53,,,,,,,,19.42,,,,,2.66,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankinovichite,2.48,2.75,2.92,,,,,,,54.23,,,,,17.91,0.28,,,,,,,,,15.89,,,0.09,,6.62,0.21,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annabergite,3.05,2.0,2.7,,,,,,,42.81,,,,,,,,,,,,,,,,,,,,29.44,,,,,25.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annite,3.17,2.75,0.29,,,,,,,35.87,1.85,,,,5.26,16.43,,,,,7.62,,,,,,,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorthite,2.73,6.0,,,,,,,,46.14,,,0.41,,18.97,20.75,,,,,,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorthoclase,2.58,6.0,,,,,,,,48.07,,,6.48,,10.13,31.65,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorthominasragrite,,1.0,3.96,,,,,,,62.87,,,,,,,,12.35,,,,,,,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansermetite,2.57,3.0,2.78,,,,,,,50.8,,,,,,,,,,,,,,,30.21,,16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarcticite,1.71,2.5,5.52,,,,,,,43.82,,,,,,,,,32.37,,,18.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthoinite,4.8,1.0,0.98,,,,,,,30.98,,,,,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthonyite,,2.0,4.7,,,,,,,44.77,,,,,,,,,11.02,,,,,,,,,,,,39.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthophyllite,3.21,5.5,0.26,,,,,,,49.18,,,,21.79,,28.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigorite,3.75,2.54,1.34,,,,,,,47.88,,,,18.18,,18.68,,,,,,,,,,,,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
